"id_d","cod_dep","name_dept"
"1","01","ANTIOQUIA"
"2","03","ATLANTICO"
"3","05","BOLIVAR"
"4","07","BOYACA"
"5","09","CALDAS"
"6","11","CAUCA"
"7","12","CESAR"
"8","13","CORDOBA"
"9","15","CUNDINAMARCA"
"10","16","BOGOTA D.C."
"11","17","CHOCO"
"12","19","HUILA"
"13","21","MAGDALENA"
"14","23","NARIÃ‘O"
"15","24","RISARALDA"
"16","25","NORTE DE SAN"
"17","26","QUINDIO"
"18","27","SANTANDER"
"19","28","SUCRE"
"20","29","TOLIMA"
"21","31","VALLE"
"22","40","ARAUCA"
"23","44","CAQUETA"
"24","46","CASANARE"
"25","48","LA GUAJIRA"
"26","50","GUAINIA"
"27","52","META"
"28","54","GUAVIARE"
"29","56","SAN ANDRES"
"30","60","AMAZONAS"
"31","64","PUTUMAYO"
"32","68","VAUPES"
"33","72","VICHADA"
